drhodr,	 i = 1401,	 message = The occurrence of roundoff error is detected, which prevents 
  the requested tolerance from being achieved.  The error may be 
  underestimated.
d2rhodr2,	 i = 1401,	 message = The occurrence of roundoff error is detected, which prevents 
  the requested tolerance from being achieved.  The error may be 
  underestimated.
GALAXY: NGC 7332_1
Menc:
Menc,	 i = 0,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 1,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 2,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 3,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 4,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 5,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 6,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 7,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 8,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 9,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 10,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 11,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 12,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 13,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 14,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 15,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 16,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 17,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 18,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 19,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 20,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 21,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 22,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 23,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 24,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 25,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 26,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 27,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 28,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 29,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 30,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 31,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 32,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 33,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 34,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 35,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 36,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 37,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 38,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 39,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 40,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 41,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 42,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 43,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 44,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 45,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 46,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 47,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 48,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 49,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 50,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 51,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 52,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 53,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 54,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 55,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 56,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 57,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 58,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 59,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 60,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 61,	 message = The integral is probably divergent, or slowly convergent.
Menc,	 i = 223,	 message = The occurrence of roundoff error is detected, which prevents 
  the requested tolerance from being achieved.  The error may be 
  underestimated.
Menc,	 i = 224,	 message = The occurrence of roundoff error is detected, which prevents 
  the requested tolerance from being achieved.  The error may be 
  underestimated.
Menc,	 i = 225,	 message = The occurrence of roundoff error is detected, which prevents 
  the requested tolerance from being achieved.  The error may be 
  underestimated.
Menc,	 i = 226,	 message = The occurrence of roundoff error is detected, which prevents 
  the requested tolerance from being achieved.  The error may be 
  underestimated.
Menc,	 i = 227,	 message = The occurrence of roundoff error is detected, which prevents 
  the requested tolerance from being achieved.  The error may be 
  underestimated.
Menc,	 i = 228,	 message = The occurrence of roundoff error is detected, which prevents 
  the requested tolerance from being achieved.  The error may be 
  underestimated.
Menc,	 i = 229,	 message = The occurrence of roundoff error is detected, which prevents 
  the requested tolerance from being achieved.  The error may be 
  underestimated.
Menc,	 i = 230,	 message = The occurrence of roundoff error is detected, which prevents 
  the requested tolerance from being achieved.  The error may be 
  underestimated.
